"filename", "language", "TypeScript", "JSON", "JavaScript", "Markdown", "JSON with Comments", "XML", "CSS", "TypeScript JSX", "comment", "blank", "total"
"d:\1-git\prod\dev-soodam\src\components\shared\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 211, 1, 10, 222
"d:\1-git\prod\dev-soodam\src\components\shared\index.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\1-git\prod\dev-soodam\src\components\skeleton\HousingSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 2, 28
"d:\1-git\prod\dev-soodam\src\components\skeleton\NavbarSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"d:\1-git\prod\dev-soodam\src\components\skeleton\index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\1-git\prod\dev-soodam\src\components\sliders\HousingSliders.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 73, 5, 5, 83
"d:\1-git\prod\dev-soodam\src\components\sliders\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\1-git\prod\dev-soodam\src\components\ui\Alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 53, 4, 7, 64
"d:\1-git\prod\dev-soodam\src\components\ui\Buttons.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 31, 2, 8, 41
"d:\1-git\prod\dev-soodam\src\components\ui\Checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 7, 52
"d:\1-git\prod\dev-soodam\src\components\ui\DisplayError.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 70, 0, 8, 78
"d:\1-git\prod\dev-soodam\src\components\ui\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 143, 4, 18, 165
"d:\1-git\prod\dev-soodam\src\components\ui\SelectBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 90, 7, 12, 109
"d:\1-git\prod\dev-soodam\src\components\ui\Skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 63, 4, 13, 80
"d:\1-git\prod\dev-soodam\src\components\ui\TextField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 73, 6, 11, 90
